NEW_SALEDATE,NEW_YEAR,MONTH,MAKE,MODEL,MAX_SELLING_PRICE,MIN_SELLING_PRICE,AVG_SELLING_PRICE,AVG_MILEAGE,MAX_MILEAGE,MIN_MILEAGE,TOTAL_SALES,TOTAL_REVENUE,PRICE_BUCKET,MILEAGE_CATEGORY
2015-06-19T02:00:00Z,2015,Jun,Toyota,Venza,29600,4500,16826.129758,56599.441176,197251,2847,578,9725503,BUDGET,High Mileage
2015-06-19T02:20:00Z,2015,Jun,Volkswagen,Touareg,42800,800,13752.514793,82332.775148,234406,1,338,4648350,BUDGET,High Mileage
2015-06-19T04:00:00Z,2015,Jun,Mercury,Grand Marquis,14000,100,3148.041045,112094.662313,321606,1,536,1687350,BUDGET,High Mileage
2015-06-18T02:15:00Z,2015,Jun,Lexus,SC 430,22100,4600,11642.168675,104412.373494,227185,31220,83,966300,BUDGET,High Mileage
2015-03-03T05:00:00Z,2015,Mar,Mazda,Mazdaspeed Protege,4400,300,2340.000000,114939.400000,161930,53913,5,11700,BUDGET,High Mileage
2015-07-07T17:15:00Z,2015,Jul,GMC,Savana Cargo,33500,800,19636.555891,20174.779456,362415,1,662,12999400,BUDGET,High Mileage
2015-06-18T05:30:00Z,2015,Jun,Audi,RS 7,107000,98000,102225.000000,7691.500000,12908,1998,8,817800,MID_RANGE,Low Mileage
2015-07-09T07:35:00Z,2015,Jul,Saab,05-Sept,17750,225,3413.059701,112722.238806,247366,1,67,228675,BUDGET,High Mileage
2015-06-18T06:00:00Z,2015,Jun,Oldsmobile,Bravada,3300,275,1239.062500,154502.854167,242272,57827,48,59475,BUDGET,High Mileage
2015-06-30T09:30:00Z,2015,Jun,Pontiac,GTO,19250,3500,9593.103448,84232.913793,156403,7032,58,556400,BUDGET,High Mileage
2015-06-18T09:20:00Z,2015,Jun,Isuzu,Rodeo,6700,1,1228.475248,144387.772277,262788,1,101,124076,BUDGET,High Mileage
2015-01-14T04:30:00Z,2015,Jan,honda,odyssey,2450,300,1160.416667,174836.416667,252253,114447,36,41775,BUDGET,High Mileage
2015-06-17T03:00:00Z,2015,Jun,GMC,Sierra 2500HD Classic,36250,8900,18667.500000,138639.850000,201558,40537,20,373350,BUDGET,High Mileage
2015-06-17T17:00:00Z,2015,Jun,Lexus,GS 450h,45500,7000,19547.727273,75031.212121,154514,7822,33,645075,BUDGET,High Mileage
2015-06-18T09:50:00Z,2015,Jun,Isuzu,Axiom,3100,600,1776.315789,141027.684211,226620,91111,19,33750,BUDGET,High Mileage
2015-06-18T03:00:00Z,2015,Jun,Lincoln,MKC,37000,28100,32957.500000,7831.500000,18310,70,20,659150,BUDGET,Low Mileage
2015-06-18T05:30:00Z,2015,Jun,Audi,SQ5,53500,45000,48114.285714,11970.857143,25990,3209,7,336800,BUDGET,Medium Mileage
2015-01-15T02:00:00Z,2015,Jan,ford,e250,15400,600,5355.555556,106240.333333,258685,10301,9,48200,BUDGET,High Mileage
2015-01-14T05:30:00Z,2015,Jan,oldsmobile,silhouette,1000,500,766.666667,124022.333333,139482,113046,3,2300,BUDGET,High Mileage
2015-06-30T06:15:00Z,2015,Jun,Mazda,B-Series Truck,12500,3500,8466.666667,73897.666667,106878,38364,6,50800,BUDGET,High Mileage
2015-03-05T01:30:00Z,2015,Mar,Mazda,Mazdaspeed MX-5 Miata,5200,3300,4033.333333,106279.000000,131945,92424,3,12100,BUDGET,High Mileage
2015-06-03T03:20:00Z,2015,Jun,Ford,F-150 SVT Lightning,10200,2250,7083.333333,67591.333333,87778,40370,3,21250,BUDGET,High Mileage
2015-02-18T04:30:00Z,2015,Feb,BMW,ActiveHybrid 5,28000,27250,27625.000000,32770.000000,34246,31294,2,55250,BUDGET,Medium Mileage
2015-01-14T06:20:00Z,2015,Jan,mercury,grand,8100,1500,4462.500000,86523.083333,200471,21255,12,53550,BUDGET,High Mileage
2015-06-02T02:30:00Z,2015,Jun,Ford,E-350,3800,1200,2200.000000,137203.000000,241805,52971,3,6600,BUDGET,High Mileage
2015-01-14T03:30:00Z,2015,Jan,dodge,ram,12300,400,3629.166667,151454.250000,197694,75332,12,43550,BUDGET,High Mileage
2015-01-13T10:00:00Z,2015,Jan,pontiac,wave,3600,400,2000.000000,139527.500000,215988,63067,2,4000,BUDGET,High Mileage
2015-01-14T03:30:00Z,2015,Jan,mazda,tribute,6800,400,2907.692308,141793.384615,259179,77800,13,37800,BUDGET,High Mileage
2015-01-28T10:00:00Z,2015,Jan,Aston Martin,Rapide,103000,94500,98750.000000,20213.500000,20658,19769,2,197500,MID_RANGE,Medium Mileage
2015-06-10T03:20:00Z,2015,Jun,Audi,RS 4,28200,23000,26066.666667,75289.333333,96939,59910,3,78200,BUDGET,High Mileage
